,Title,Year,Page Number,Subject
2,"  The American artists' manual : or, Dictionary of practical knowledge in the application of philosophy to the arts and manufactures. Selected from the most complete European systems, with original improvements and appropriate engravings. Adapted to the use of the manufacturers of the United States",1814,0.0,Technology
5,"  Technical dictionary : containing words used in medicines, art, craft, science, astrology, astronomy, domestic economy, chemistry and commerce, with their equivalents in other languages.",1916,0.0,Technology
6,  Elements of technology.,1831,0.0,Technology
7,  The useful arts considered in connexion with the applications of science,1853,0.0,Technology
8,"  The mechanic, or, Compendium of practical inventions : containing two hundred and thirteen articles, selected and original, arranged under the following heads: I. Manufactures and trade, II. Philosophical apparatus and the fine arts, III. Rural and domestic economy, and miscellanies: illustrated by one hundred and six copperplate engravings  with a copius analytical index.",1818,0.0,Technology
10,  Grenade Warfare: notes on the training & organization of grenadiers.,1915,1.0,Technology
13,"  Regulations for Army Ordnance Services. Part II. Instructions for laboratories and laboratory operations, examination of explosives and ordnance. War Office, 1914. [With diagrams.]",1914,1.0,Technology
14,"  Dodd's curiosities of industry : contents: gold in the mine, the mint, and the workshop paper, its application and novelties glass and its manufacture  fire and light ... printing, its modern varieties the printing machine.",1852,1.0,Technology
18,"  The King of Books : McQuhae's practical technical instructor. A useful handbook and guide. For the builder, bricklayer, mason, carpenter, slater, plumber, plasterer, painter, gilder, picture frame maker, wood and stone carver, repousse, and fret cutter, valuable information on hygiene and guide to health, sanitary inspector nuisance duties, with over 2,000 recipes of great value and instructions how to mix and use them. A valuable book for the young student, artisan and amateur",1912,1.0,Technology
19,"  The artizan's guide and everybody's assistant, embracing nearly four thousand new and valuable receipts, tables, &c : in almost every branch of business connected with civilized life, from the household to the manufactory",1875,1.0,Technology
23,  War Time Control of Industry: the experience of England.,1918,2.0,Technology
24,"  A historical account of useful inventions and scientific discoveries  being a manual of instruction, and entertainment",1849,2.0,Technology
25,"  The universal assistant and complete mechanic : containing over one million industrial facts, calculations, receipts, processes, trade secrets, rules, business forms, legal items, etc., in every occupation from the household to the manufactory",1879,2.0,Technology
26,"  The artizan's guide and everybody's assistant : embracing nearly four thousand new and valuable receipts tables, etc. in almost every branch of business connected with civilized life, from the household to the manufactory",1875,2.0,Technology
29,"  Rifle and Carton. Some notes on target shooting with the ·22 calibre rifle, as a sport, and in preparation for war ... Third edition. With a chapter on the formation and management of miniature rifle clubs.",1914,2.0,Technology
30,  Charts of the Atmosphere for Aeronauts and Aviators.,1911,3.0,Technology
32,"  Report of a Conference ... 16th and 17th March, 1918, on the position of women in industry after the war.",1918,3.0,Technology
34,  Hints on Grenade Work. Tactical.,1917,3.0,Technology
36,  The Poison War.,1915,3.0,Technology
42,"  The laboratory, or, School of arts : containing a large collection of valuable secrets, experiments, and manual operations in arts and manufactures, Highly Useful to Gilders, Jewellers, Enamellers, Goldsmiths, Dyers, Cutlers, Pewterers, Joiners, Japanners, Book-Binders, Plasterers, Artists, and to the Workers in Metals in General and in Plaster of Paris, Wood, Ivory, Bone, Horn, and Other Materials. Compiled originally by G. Smith. A Complete Treatise on Fire-Works, and the Art of Short-Hand Writing. Illustrated with Engravings.",1799,4.0,Technology
44,  Handbook for the 303 in Vickers Machine Gun (Magazine Rifle Chamber) mounted on tripod mounting Mark IV.,1914,4.0,Technology
45,"  Report of the Departmental committee [of the Home office] appointed to inquire into the conditions prevailing in the coal mining industry due to the war : pts. pt.2, Minutes of evidence and index.",1915,4.0,Technology
47,"  The Times, No. 40,019. (Birmingham number) : London, Wednesday, October 2, 1912.",1912,4.0,Technology
48,  Catalogue of Lewis's Medical and Scientific Library.,1881,4.0,Technology
49,  The Parents' cabinet of amusement and instruction,1889,4.0,Technology
50,"  Class certain property as secret and providing for the purchase of such property. May 21 (calendar day, May 25), 1926. -- Ordered to be printed.",1926,5.0,Technology
51,"  Authorizing the Secretary of War to class as secret certain apparatus and equipment. February 15, 1927. -- Committed to the Committee of the Whole House on the State of the Union and ordered to be printed.",1927,5.0,Technology
52,"  Amend the act to provide more effectively for the national defense by increasing the efficiency of the Air Corps. February 26, 1927. -- Committed to the Committee of the Whole House on the State of the Union and ordered to be printed.",1927,5.0,Technology
53,  The Yorkshire College of Science and Mining Technology,1874,5.0,Technology
54,"  A vocabulary of common and technical words, in English-Oordoo, designed chiefly for the use of students of the Thomason C. E. College, and European subordinates in the P.W. Department.",1871,5.0,Technology
56,"  A simple and effectual mode of providing for the labouring classes and, at the same time, of promoting the landed interest.",1825,5.0,Technology
58,"  Technical education : address delivered at the opening of the School of Practical Science, Toronto, February 24th, 1892",1892,5.0,Technology
59,"  Report from the Secretary of War, transmitting the report of a board of officers appointed to examine the improvements in fire-arms, made by Hall, Cochran, Colt, and the Baron Hackett  in compliance with a resolution of the Senate of the 27th January, 1837. September 19, 1837. Read, and ordered to be printed.",1837,5.0,Technology
60,"  Modern aviation engines : design, construction, operation and repair, etc.",1929,6.0,Technology
63,"  Porcelain dental art : the new process of restoring decayed and defective teeth to their original appearance in shape, size and color",1888,6.0,Technology
64,  Land system of dental practice : devoted to the act of restoring the dental organs to their natural appearance,1893,6.0,Technology
65,"  Military commission to Europe, in 1855 and 1856. Report of Major Alfred Mordecai, of the Ordnance Department.",1860,6.0,Technology
66,"  Great Exhibition of the Works of Industry of all Nations, 1851 : Official catalogue. Alphabetical index of names and subjects. British and foreign priced lists.",1851,6.0,Technology
68,"  Report from the Secretary of War, in compliance with a resolution of the Senate, in relation to the claim of the heirs of Daniel Pettibone. December 14, 1840. Referred to the Committee on Military Affairs. December 22, 1840. Ordered to be printed.",1840,6.0,Technology
70,"  Report from the Secretary of War, transmitting the report of a board of officers appointed to examine the improvements in certain fire-arms  in compliance with a resolution of the Senate of the 27th January, 1837. October 3, 1837. Read, and ordered to be printed.",1837,7.0,Technology
72,"  The Laboratory or, school of arts: in which are faithfully exhibited, and fully explained. I. The Antiquarian, or curious Examiner of antient Coins and Medals. II. A short Introduction to the Art of Drawing in general with an Essay on designing and drawing Patterns for the Flower'd silk Manufactory, Embroidery, and Printing. III. The Art of Painting in Oil-Colours, and Mentzotintoes on Glass. IV. Introductory Rules for finding the natural Shadows of the Sun, likewise those of the Torch, Lamp, or Candle. V. Of Water-Works. Fountains, and Grottoes, in Miniature, for grand Entertainments. VI. The Art of Dialling, or of making of Sun-Dials. Vii. A Collection of choice Receipts, and Experiments of various Kinds, relating to the Produce of Gardens, as Flowers, Fruits, &c. Viii. A Directory for the Management of a Fruit, Flower, and Kitchen-Garden, through every Month of the Year. IX. Optical Experiments, by Means of which the most surprizing and incredible Performances are exhibited, for the Entertainment of the Curious. X. The Art of Distilling of Liquide, Cordials, &c. in all its Branches. XI. A short Introduction to Civil Architecture, or the Art of Building. XII. The Art of Refining, Tanning of Leather, and Dying of Skins in various Colours: Of Fire-Works, Cosmeticks, Perfumes, &c. &c. With a great number of other scarce and valuable secrets. Compiled for the use, benefit, and entertainment of the curious: illustrated with a variety of curious copper-plates.",1756,7.0,Technology
74,"  List of field service kit, warrant officers, N.C.O's and men.",1915,7.0,Technology
75,"  Naval ordnance and ordnance stores. (With Bill No. 9.) July 7, 1841. Printed by order of the House of Representatives.",1841,7.0,Technology
76,"  Message of the President of the United States, communicating a report of the Secretary of War, and recommending a special appropriation of three millions of dollars for military purposes. February 26, 1856. -- Read and referred to the Committee on Military Affairs. February 27, 1856. -- Bill S. 124, and Ex. Doc. No. 34.",1856,7.0,Technology
77,"  Robert Fulton's heirs. (To accompany Bill H.R. No. 80.) December 14, 1837. -- Reprinted.",1837,7.0,Technology
78,"  Armored vessels in the attack on Charleston. Letter from the Secretary of the Navy, in answer to resolutions of the House and Senate in relation to the operations of armored vessels employed in the service of the United States. April 12, 1864. -- Referred to the Committee on Naval Affairs and ordered to be printed.",1864,7.0,Technology
79,"  Bush tracks and gold fields : reminiscences of Australia’s ""back of beyond""",1926,7.0,Technology
80,"  Iron-clad ships, ordnance, &c., &c. Letter from the Secretary of the Navy, addressed to the Committee on Naval Affairs, in relation to iron-clad ships, ordnance, &c. June 13, 1862. -- Ordered to be printed, and recommitted to the Committee on Naval Affairs.",1862,8.0,Technology
81,"  Message from the President of the United States, to the two Houses of Congress, at the commencement of the second session of the Twenty-eighth Congress. December 3, 1844. Read, and ordered to be printed with the accompanying documents and that 3,500 additional copies of the message, and 3,000 additional copies of the message and documents, be furnished for the use of the Senate.",1844,8.0,Technology
0,  Curiosities of industry.,1852,,Technology
1,"  Abbreviations to be used in the Civil Aeronautical Radio Service, etc.",1935,,Technology
2,  The Flyer's Guide. An elementary handbook for aviators.,1916,,Technology
3,"  Report of the Committee on Royal Aircraft Factory, and Report to the War Committee by the Air Board on the subject of the Royal Aircraft Factory.",1916,,Technology
5,  The curiosities of industry and the applied sciences,1852,,Technology
6,  The Iron and Steel Industry of the United Kingdom under war conditions: a record of the work of the iron and steel production department of the Ministry of Munitions ... With illustrations and diagrams.,1919,,Technology
7,"  The State and Industry during the War and after. Papers by H. Sanderson Furniss, John Hilton, J. J. Mallon. With criticisms.",1918,,Technology
8,  Aerobatics.,1918,,Technology
9,"  Six Lectures delivered at the Senior Officers' Course, 16-21 Oct. 1911, School of Military Engineering, by Col. J. E. Capper [and others], etc.",1912,,Technology
10,"  The mechanic or, compendium of practical inventions containing two hundred and fifteen articles, selected and original, arranged under the following heads: I. Manufactures and trade, II. Philosophical apparatus and the fine arts, III. Rural and domestic economy, and miscellanies: illustrated by one hundred and eight copperplate engravings with a copious analytical index.",1825,,Technology
11,"  Anthropology and the British Association, etc. [Reprinted from the Anthropological Review.]",1865,,Technology
12,  Cinquante Quatre: Flying Corps songs. With seven collotype illustrations. (Second impression.).,1918,,Technology
13,"  The Register of Arts or, a compendious view of some of the most useful modern discoveries and inventions.",1808,,Technology
14,  Types of German aeroplanes.,1918,,Technology
15,"  The Complete Airman, etc.",1920,,Technology
1,"  Letter from the Secretary of War, transmitting, in obedience to law, additional information, comprised in the report of Lieutenant Colonel W.F. Raynolds, regarding a recent survey of the Mississippi River, opposite the mouth of the Missouri. February 26, 1972. --Referred to the Committee on Commerce and ordered to be printed.",1872,0.0,Engineering
2,"  Engineering and engineers : a paper read before the Literary and Historical Society of Quebec, April 12th, 1871",1871,0.0,Engineering
4,"  Bulletin - Engineering Experiment Station, University of Tennessee.",1922,0.0,Engineering
12,"  Railway engineers' field book : a practical manual for engineers in the East, containing directions for the conduct of a railway survey, instruction on the tacheometer with new reduction tables, tables of latitude and departure, full curve tables for every minute of arc for all angles from 00 to 1200 and many others",1913,1.0,Engineering
14,  Driving-box wedges.,1895,1.0,Engineering
15,"  Minor sanitary engineering : comprising notes on materials, processes, principles and practice.",1916,1.0,Engineering
17,  Civil engineering geology,1923,1.0,Engineering
18,  On a scale of geometrical equivalents for engineering and other purposes.,1838,1.0,Engineering
19,  Chemical analysis considered in its application to civil and mechanical engineering.,1877,1.0,Engineering
21,  [Catalogue no.7].,1977,2.0,Engineering
22,  A précis of military engineering,1903,2.0,Engineering
23,  Prospectus : patent wooden railway.,1853,2.0,Engineering
24,"  Description of the fumific impeller shewing the direct application of hot products of combustion to the bodies on which they are required to act, without the intervention of machinery.",1845,2.0,Engineering
25,  Preparation of Plans for Railways.,1927,2.0,Engineering
26,  Hints on mining affairs,1877,2.0,Engineering
27,  History of the steam hammer: (with illustrations),1866,2.0,Engineering
28,"  Instructions from the engineer in chief to the staff : no. 1, Explorations and surveys no. 2, The purveyor's branch no. 3, Location and construction no. 4, Organization of the engineering staff no. 5, Location of stations",1875,2.0,Engineering
29,"  Vignoles' steam railway. Invented by Charles Vignoles, Jun., C.E. Explanatory circular ...",1846,2.0,Engineering
30,  The civil engineer and machinist,1834,3.0,Engineering
31,"  Introductory lecture to a course on the principles and practice of civil engineering: delivered in December, MDCCCLVII., at the Royal Engineer establishment for field instruction at Chatham.",1857,3.0,Engineering
32,"  Elements of civil engineering : being an attempt to consolidate the principles of the various operations of the civil engineer, into one point of view, etc.",1839,3.0,Engineering
33,  A treatise on forest engineering,1914,3.0,Engineering
34,  Dangers to health: a pictorial guide to domestic sanitary defects,1878,3.0,Engineering
36,  Lecture given before the London Aero Models Association (Soc. Model Aeronautical Engineers),1922,3.0,Engineering
38,  Installing efficiency methods,1976,3.0,Engineering
41,"  American engineering, illustrated by large and detailed engravings embracing various branches of mechanical art, stationary, marine, river boat, screw propeller, locomotive, pumping and steam fire engines, rolling and sugar mills, tools, and iron bridges, of the newest and most approved construction",1861,4.0,Engineering
42,  History of the steam hammer,1864,4.0,Engineering
44,  Traité pratique des chemins de fer : planches.,1986,4.0,Engineering
47,  The model engineer and amateur electrician : a journal of mechanics and electricity for amateurs and students. Vol.4: 1901.,1977,4.0,Engineering
48,  The model engineer and electrician : a journal of practical mechanics and electricity. Vol.12: 1905.,1978,4.0,Engineering
49,  The model engineer and electrician : a journal of mechanics and electricity for amateurs and students. Vol.8: 1903.,1977,4.0,Engineering
51,  The model engineer and electrician : a journal of practical mechanics and electricity. Vol.10: 1904.,1977,5.0,Engineering
52,  The model engineer and amateur electrician : a journal of mechanics and electricity for amateurs and students. Vol.5 : 1901.,1977,5.0,Engineering
53,  The model engineer and electrician : a journal of practical mechanics and electricity. Vol.9: 1903.,1977,5.0,Engineering
54,  The model engineer and amateur electrician : a journal of mechanics and electricity for amateurs and students. Vol.6: 1902.,1977,5.0,Engineering
55,  The model engineer and amateur electrician : a journal of mechanics and electricity for amateurs and students. Vol.1 : 1898.,1976,5.0,Engineering
56,  Extracts from the annual report on the Bengal Engineering College for the year 1920-21.,1921,5.0,Engineering
57,"  Lecture on field engineering, 20th November, 1913.",1913,5.0,Engineering
58,"  Description of the construction, properties, and varieties, of the hydro-pneumatic lock invented by Colonel Congreve, shewing the principles of its action, with introductory observations on locks in general and, a supplement, containing the demonstrations of the spontaneous adjustments of which it is capable, so that its operations may in no way be affected by any possible variation in the canal levels.",1814,5.0,Engineering
60,  The resistance of piles,188-,6.0,Engineering
61,"  Programme, Montreal, February 21st to 25th, 1893 headquarters, Windsor Hotel.",1893,6.0,Engineering
62,"  [Trade card for Jas. L. Collier, confectioners' engineer, machinist and coppersmith].",1895,6.0,Engineering
63,  The A.E.U.-a review and a policy : past and present conditions.,1928,6.0,Engineering
65,  The professional status : a plea for a close corporation,1892,6.0,Engineering
66,  Uniform practice in pile-driving,1892,6.0,Engineering
67,  Report on the Bengal Engineering College for the quinquennium 1917-18 to 1921-22.,1922,6.0,Engineering
